           0           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           6           1           1           1           1           1           1           1           1           1           1           1           1
     6      0.0000      2.6821      4.6224      5.3238      4.6564      2.6948      4.6676      7.1177      9.2898      9.6581      8.0717      5.3896      4.6675      7.1177      8.0186      7.0953      4.6564      2.6948      5.3239      4.6224      9.2897      9.6580      8.0186      7.0953      6.4697      7.3742     11.1061     11.6563     10.0690      8.7371      7.3742      6.4697     11.1061     11.6563     10.0690      8.7371
     6      2.6821      0.0000      2.6888      4.5990      5.3768      4.6565      7.1178      9.3130     11.6957     12.2765     10.7538      8.0717      7.1177      9.3129      9.6380      8.0652      5.3768      4.6565      4.5990      2.6888     11.6957     12.2765      9.6380      8.0652      4.0892      6.4582     13.3909     14.2935     11.6403      9.2478      6.4582      4.0891     13.3908     14.2934     11.6404      9.2478
     6      4.6224      2.6888      0.0000      2.5892      4.5991      5.3239      8.0187      9.6381     12.2548     13.3425     12.2765      9.6580      9.2897     11.6956     12.2546     10.7531      8.0652      7.0953      7.0752      4.7134     13.9116     14.1506      9.1982      7.0753      2.0504      4.0295     13.6737     15.3930     14.2761     11.9080      8.7379      5.1361     15.7189     16.0971     11.0235      7.7143
     6      5.3238      4.5990      2.5892      0.0000      2.6888      4.6224      7.0954      8.0653     10.7533     12.2548     11.6957      9.2897      9.6579     12.2763     13.3423     12.2546      9.6379      8.0186      9.1981      7.0752     14.1505     13.9116      7.0753      4.7135      4.0295      2.0504     11.9082     14.2762     15.3927     13.6734     11.0234      7.7143     16.0970     15.7189      8.7381      5.1361
     6      4.6564      5.3768      4.5991      2.6888      0.0000      2.6820      4.6565      5.3769      8.0653      9.6381      9.3129      7.1177      8.0715     10.7535     12.2762     11.6955      9.3128      7.1176      9.6379      8.0652     12.2763     11.6956      4.5991      2.6888      6.4582      4.0892      9.2480     11.6404     14.2932     13.3906     11.6403      9.2478     14.2933     13.3908      6.4583      4.0891
     6      2.6948      4.6565      5.3239      4.6224      2.6820      0.0000      2.6948      4.6565      7.0954      8.0187      7.1177      4.6675      5.3895      8.0715      9.6578      9.2896      7.1176      4.6675      8.0186      7.0953      9.6579      9.2897      5.3239      4.6223      7.3743      6.4696      8.7373     10.0691     11.6561     11.1060     10.0690      8.7372     11.6562     11.1061      7.3743      6.4696
     6      4.6676      7.1178      8.0187      7.0954      4.6565      2.6948      0.0000      2.6820      4.6224      5.3239      4.6565      2.6948      4.6675      7.1176      9.2896      9.6579      8.0716      5.3896      9.6580      9.2898      8.0186      7.0953      4.6223      5.3238     10.0691      8.7372      6.4697      7.3743     11.1060     11.6562     11.6563     11.1061     10.0690      8.7372      6.4696      7.3742
     6      7.1177      9.3130      9.6381      8.0653      5.3769      4.6565      2.6820      0.0000      2.6888      4.5991      5.3768      4.6564      7.1176      9.3128     11.6955     12.2763     10.7536      8.0716     12.2764     11.6957      9.6379      8.0652      2.6888      4.5991     11.6404      9.2479      4.0892      6.4583     13.3906     14.2933     14.2933     13.3908     11.6403      9.2478      4.0891      6.4582
     6      9.2898     11.6957     12.2548     10.7533      8.0653      7.0954      4.6224      2.6888      0.0000      2.5892      4.5990      5.3239      8.0186      9.6379     12.2546     13.3424     12.2764      9.6580     14.1506     13.9117      9.1981      7.0752      4.7135      7.0753     14.2762     11.9081      2.0504      4.0295     13.6735     15.3928     16.0971     15.7189     11.0234      7.7143      5.1361      8.7380
     6      9.6581     12.2765     13.3425     12.2548      9.6381      8.0187      5.3239      4.5991      2.5892      0.0000      2.6888      4.6224      7.0953      8.0652     10.7532     12.2547     11.6957      9.2898     13.9117     14.1506      7.0752      4.7134      7.0752      9.1981     15.3929     13.6736      4.0295      2.0504     11.9080     14.2761     15.7189     16.0972      8.7380      5.1361      7.7143     11.0235
     6      8.0717     10.7538     12.2765     11.6957      9.3129      7.1177      4.6565      5.3768      4.5990      2.6888      0.0000      2.6821      4.6565      5.3768      8.0652      9.6380      9.3130      7.1178     11.6957     12.2765      4.5990      2.6888      8.0652      9.6380     14.2934     13.3908      6.4582      4.0891      9.2478     11.6404     13.3909     14.2935      6.4582      4.0892      9.2478     11.6403
     6      5.3896      8.0717      9.6580      9.2897      7.1177      4.6675      2.6948      4.6564      5.3239      4.6224      2.6821      0.0000      2.6948      4.6564      7.0953      8.0186      7.1177      4.6676      9.2898      9.6581      5.3238      4.6224      7.0953      8.0186     11.6563     11.1061      7.3742      6.4697      8.7371     10.0690     11.1061     11.6563      7.3742      6.4697      8.7371     10.0690
     6      4.6675      7.1177      9.2897      9.6579      8.0715      5.3895      4.6675      7.1176      8.0186      7.0953      4.6565      2.6948      0.0000      2.6820      4.6223      5.3239      4.6565      2.6948      7.0954      8.0187      4.6224      5.3239      9.2896      9.6578     11.1061     11.6562     10.0690      8.7372      6.4696      7.3743      8.7373     10.0691      6.4696      7.3743     11.1060     11.6561
     6      7.1177      9.3129     11.6956     12.2763     10.7535      8.0715      7.1176      9.3128      9.6379      8.0652      5.3768      4.6564      2.6820      0.0000      2.6888      4.5991      5.3769      4.6565      8.0653      9.6381      2.6888      4.5991     11.6955     12.2762     13.3908     14.2933     11.6403      9.2478      4.0891      6.4583      9.2480     11.6404      4.0892      6.4582     13.3906     14.2932
     6      8.0186      9.6380     12.2546     13.3423     12.2762      9.6578      9.2896     11.6955     12.2546     10.7532      8.0652      7.0953      4.6223      2.6888      0.0000      2.5892      4.5991      5.3238      7.0753      9.1981      4.7135      7.0753     13.9115     14.1504     13.6736     15.3927     14.2761     11.9080      2.0504      4.0296      7.7144     11.0235      5.1361      8.7380     15.7187     16.0969
